result_1,result_2,result_3,jar,Sum,cond
3,3,3,2,9,nnn
1,1,2,2,4,bbr
3,3,3,2,9,nnn
3,3,3,1,9,nnn
1,1,1,1,3,bbb
3,3,3,1,9,nnn
3,3,3,1,9,nnn
1,2,2,2,5,brr
2,2,1,2,5,brr
2,2,1,2,5,brr
1,2,1,1,4,bbr
3,3,3,2,9,nnn
1,1,1,1,3,bbb
3,3,3,2,9,nnn
3,3,3,2,9,nnn
3,3,3,1,9,nnn
2,2,2,2,6,rrr
3,3,3,2,9,nnn
3,3,3,1,9,nnn
1,1,1,1,3,bbb
2,1,2,1,5,brr
3,3,3,1,9,nnn
3,3,3,1,9,nnn
2,1,1,1,4,bbr
3,3,3,2,9,nnn
1,1,1,1,3,bbb
1,2,1,1,4,bbr
2,2,2,2,6,rrr
2,2,2,1,6,rrr
3,3,3,2,9,nnn
3,3,3,2,9,nnn
3,3,3,1,9,nnn
1,1,1,1,3,bbb
2,2,2,2,6,rrr
2,1,1,1,4,bbr
3,3,3,1,9,nnn
1,2,2,2,5,brr
1,2,1,1,4,bbr
2,1,2,2,5,brr
2,2,1,2,5,brr
2,2,2,2,6,rrr
3,3,3,1,9,nnn
3,3,3,2,9,nnn
1,2,1,1,4,bbr
1,1,2,1,4,bbr
1,1,1,1,3,bbb
1,1,2,2,4,bbr
3,3,3,1,9,nnn
2,2,2,1,6,rrr
1,1,2,2,4,bbr
1,2,2,2,5,brr
2,2,2,1,6,rrr
3,3,3,1,9,nnn
3,3,3,2,9,nnn
2,1,2,2,5,brr
1,2,2,1,5,brr
3,3,3,2,9,nnn
1,1,1,1,3,bbb
3,3,3,1,9,nnn
3,3,3,2,9,nnn
3,3,3,2,9,nnn
3,3,3,1,9,nnn
3,3,3,2,9,nnn
2,1,1,2,4,bbr
2,2,1,2,5,brr
3,3,3,1,9,nnn
3,3,3,1,9,nnn
2,2,1,1,5,brr
1,1,1,1,3,bbb
1,2,1,1,4,bbr
3,3,3,2,9,nnn
2,2,2,1,6,rrr
3,3,3,2,9,nnn
3,3,3,2,9,nnn
3,3,3,1,9,nnn
1,2,2,2,5,brr
3,3,3,1,9,nnn
1,1,2,1,4,bbr
3,3,3,1,9,nnn
1,2,1,1,4,bbr
1,2,2,1,5,brr
1,2,2,1,5,brr
3,3,3,2,9,nnn
1,1,2,1,4,bbr
1,1,2,2,4,bbr
3,3,3,1,9,nnn
3,3,3,2,9,nnn
1,2,1,1,4,bbr
1,1,2,2,4,bbr
2,2,1,2,5,brr
3,3,3,2,9,nnn
2,1,2,2,5,brr
2,2,2,2,6,rrr
2,1,1,1,4,bbr
3,3,3,1,9,nnn
3,3,3,2,9,nnn
1,2,1,2,4,bbr
3,3,3,1,9,nnn
2,2,2,2,6,rrr
1,1,2,2,4,bbr
3,3,3,1,9,nnn
2,2,2,2,6,rrr
3,3,3,1,9,nnn
3,3,3,2,9,nnn
1,2,1,2,4,bbr
2,2,2,2,6,rrr
1,1,1,1,3,bbb
3,3,3,1,9,nnn
3,3,3,1,9,nnn
3,3,3,1,9,nnn
3,3,3,2,9,nnn
1,1,2,1,4,bbr
1,2,2,1,5,brr
3,3,3,1,9,nnn
3,3,3,1,9,nnn
1,2,2,2,5,brr
3,3,3,2,9,nnn
3,3,3,1,9,nnn
3,3,3,1,9,nnn
3,3,3,2,9,nnn
3,3,3,2,9,nnn
3,3,3,1,9,nnn
3,3,3,2,9,nnn
3,3,3,1,9,nnn
2,2,1,2,5,brr
1,2,1,1,4,bbr
3,3,3,2,9,nnn
3,3,3,1,9,nnn
3,3,3,1,9,nnn
3,3,3,1,9,nnn
3,3,3,1,9,nnn
2,1,1,2,4,bbr
3,3,3,2,9,nnn
2,2,1,2,5,brr
3,3,3,1,9,nnn
1,1,1,1,3,bbb
1,1,1,1,3,bbb
3,3,3,2,9,nnn
3,3,3,2,9,nnn
2,2,1,2,5,brr
1,1,1,1,3,bbb
2,2,1,2,5,brr
3,3,3,2,9,nnn
3,3,3,2,9,nnn
3,3,3,2,9,nnn
3,3,3,1,9,nnn
3,3,3,1,9,nnn
3,3,3,2,9,nnn
3,3,3,1,9,nnn
3,3,3,2,9,nnn
3,3,3,2,9,nnn
1,2,2,2,5,brr
2,1,1,1,4,bbr
3,3,3,2,9,nnn
2,1,2,2,5,brr
1,2,1,1,4,bbr
3,3,3,2,9,nnn
2,2,1,2,5,brr
3,3,3,2,9,nnn
1,2,2,2,5,brr
1,2,2,2,5,brr
2,1,1,1,4,bbr
1,2,2,2,5,brr
3,3,3,2,9,nnn
1,1,2,1,4,bbr
3,3,3,2,9,nnn
3,3,3,1,9,nnn
3,3,3,2,9,nnn
3,3,3,2,9,nnn
3,3,3,1,9,nnn
3,3,3,2,9,nnn
2,1,1,1,4,bbr
1,2,1,1,4,bbr
1,1,2,2,4,bbr
3,3,3,2,9,nnn
3,3,3,2,9,nnn
2,1,2,1,5,brr
3,3,3,2,9,nnn
1,1,2,1,4,bbr
1,1,2,1,4,bbr
1,1,1,1,3,bbb
1,1,1,1,3,bbb
1,2,2,2,5,brr
3,3,3,1,9,nnn
2,1,1,2,4,bbr
3,3,3,2,9,nnn
2,1,1,1,4,bbr
2,2,1,1,5,brr
2,2,2,2,6,rrr
3,3,3,1,9,nnn
2,2,1,2,5,brr
3,3,3,2,9,nnn
3,3,3,1,9,nnn
1,1,1,1,3,bbb
1,1,1,1,3,bbb
3,3,3,2,9,nnn
3,3,3,1,9,nnn
3,3,3,1,9,nnn
3,3,3,1,9,nnn
2,1,1,2,4,bbr
2,2,2,2,6,rrr
3,3,3,1,9,nnn
3,3,3,1,9,nnn
3,3,3,2,9,nnn
3,3,3,2,9,nnn
2,2,1,2,5,brr
1,1,1,1,3,bbb
1,1,2,1,4,bbr
3,3,3,1,9,nnn
3,3,3,2,9,nnn
3,3,3,2,9,nnn
3,3,3,2,9,nnn
1,1,2,1,4,bbr
2,1,1,2,4,bbr
3,3,3,2,9,nnn
2,1,2,2,5,brr
3,3,3,2,9,nnn
2,2,2,2,6,rrr
2,1,1,1,4,bbr
3,3,3,1,9,nnn
2,2,1,1,5,brr
3,3,3,1,9,nnn
3,3,3,2,9,nnn
3,3,3,2,9,nnn
3,3,3,2,9,nnn
3,3,3,1,9,nnn
2,2,2,2,6,rrr
2,2,2,2,6,rrr
3,3,3,1,9,nnn
3,3,3,2,9,nnn
3,3,3,2,9,nnn
2,2,1,1,5,brr
3,3,3,1,9,nnn
2,1,1,1,4,bbr
1,2,2,2,5,brr
2,1,2,1,5,brr
2,1,2,2,5,brr
3,3,3,2,9,nnn
3,3,3,1,9,nnn
2,1,1,1,4,bbr
1,2,2,1,5,brr
1,1,1,1,3,bbb
3,3,3,2,9,nnn
1,2,1,2,4,bbr
2,1,2,2,5,brr
1,1,1,1,3,bbb
2,2,2,2,6,rrr
2,2,2,1,6,rrr
3,3,3,2,9,nnn
3,3,3,2,9,nnn
3,3,3,2,9,nnn
3,3,3,1,9,nnn
3,3,3,2,9,nnn
3,3,3,2,9,nnn
3,3,3,1,9,nnn
3,3,3,2,9,nnn
3,3,3,2,9,nnn
1,1,2,1,4,bbr
3,3,3,1,9,nnn
2,1,1,1,4,bbr
2,2,2,2,6,rrr
1,1,1,1,3,bbb
1,1,1,1,3,bbb
3,3,3,2,9,nnn
1,2,1,2,4,bbr
3,3,3,2,9,nnn
3,3,3,1,9,nnn
3,3,3,1,9,nnn
1,2,1,1,4,bbr
3,3,3,1,9,nnn
3,3,3,2,9,nnn
1,2,1,2,4,bbr
3,3,3,2,9,nnn
3,3,3,1,9,nnn
2,2,2,1,6,rrr
1,1,1,1,3,bbb
2,1,2,2,5,brr
3,3,3,2,9,nnn
3,3,3,1,9,nnn
3,3,3,2,9,nnn
2,1,2,1,5,brr
3,3,3,2,9,nnn
1,2,2,2,5,brr
2,1,2,1,5,brr
3,3,3,1,9,nnn
3,3,3,1,9,nnn
2,1,2,2,5,brr
3,3,3,2,9,nnn
2,2,1,2,5,brr
2,1,1,1,4,bbr
1,1,1,1,3,bbb
3,3,3,2,9,nnn
3,3,3,2,9,nnn
3,3,3,1,9,nnn
3,3,3,1,9,nnn
2,2,2,1,6,rrr
1,2,2,2,5,brr
3,3,3,2,9,nnn
1,1,1,1,3,bbb
3,3,3,2,9,nnn
3,3,3,1,9,nnn
3,3,3,1,9,nnn
2,1,1,1,4,bbr
3,3,3,1,9,nnn
2,2,2,2,6,rrr
2,1,2,2,5,brr
3,3,3,1,9,nnn
3,3,3,1,9,nnn
1,1,2,1,4,bbr
1,1,2,1,4,bbr
3,3,3,2,9,nnn
3,3,3,1,9,nnn
2,1,2,1,5,brr
2,2,1,1,5,brr
3,3,3,1,9,nnn
1,1,1,1,3,bbb
2,2,2,2,6,rrr
2,1,1,2,4,bbr
2,1,1,1,4,bbr
1,2,2,1,5,brr
1,1,2,2,4,bbr
1,1,1,1,3,bbb
3,3,3,1,9,nnn
3,3,3,1,9,nnn
2,1,2,1,5,brr
2,2,1,2,5,brr
3,3,3,2,9,nnn
3,3,3,1,9,nnn
1,1,2,1,4,bbr
3,3,3,1,9,nnn
3,3,3,2,9,nnn
2,2,2,2,6,rrr
3,3,3,2,9,nnn
3,3,3,2,9,nnn
2,2,1,1,5,brr
1,2,2,1,5,brr
2,2,1,2,5,brr
1,2,1,1,4,bbr
2,2,2,2,6,rrr
2,1,1,1,4,bbr
2,2,2,2,6,rrr
3,3,3,2,9,nnn
2,1,1,1,4,bbr
1,2,2,2,5,brr
2,1,1,1,4,bbr
2,2,2,2,6,rrr
2,1,2,1,5,brr
2,1,2,2,5,brr
2,2,2,2,6,rrr
3,3,3,2,9,nnn
3,3,3,2,9,nnn
2,2,2,2,6,rrr
3,3,3,1,9,nnn
3,3,3,2,9,nnn
3,3,3,2,9,nnn
3,3,3,1,9,nnn
3,3,3,2,9,nnn
1,1,1,1,3,bbb
2,2,2,2,6,rrr
2,2,1,2,5,brr
2,1,1,2,4,bbr
3,3,3,2,9,nnn
3,3,3,1,9,nnn
2,2,2,2,6,rrr
3,3,3,2,9,nnn
2,1,2,2,5,brr
3,3,3,2,9,nnn
3,3,3,1,9,nnn
3,3,3,1,9,nnn
2,2,1,2,5,brr
2,1,2,2,5,brr
3,3,3,2,9,nnn
3,3,3,1,9,nnn
1,1,1,1,3,bbb
3,3,3,1,9,nnn
3,3,3,1,9,nnn
1,1,2,1,4,bbr
2,2,1,1,5,brr
2,1,1,1,4,bbr
2,1,2,1,5,brr
1,1,2,2,4,bbr
1,1,1,1,3,bbb
3,3,3,1,9,nnn
2,2,2,2,6,rrr
1,1,1,1,3,bbb
1,2,2,2,5,brr
3,3,3,1,9,nnn
3,3,3,2,9,nnn
1,2,2,2,5,brr
3,3,3,2,9,nnn
3,3,3,2,9,nnn
3,3,3,2,9,nnn
3,3,3,2,9,nnn
3,3,3,2,9,nnn
3,3,3,2,9,nnn
2,2,1,2,5,brr
1,2,2,2,5,brr
3,3,3,1,9,nnn
3,3,3,1,9,nnn
2,2,1,2,5,brr
3,3,3,2,9,nnn
3,3,3,2,9,nnn
2,2,2,2,6,rrr
3,3,3,2,9,nnn
3,3,3,2,9,nnn
1,2,1,2,4,bbr
2,2,2,2,6,rrr
2,2,2,2,6,rrr
1,1,1,1,3,bbb
3,3,3,1,9,nnn
2,2,1,2,5,brr
2,2,1,2,5,brr
3,3,3,1,9,nnn
1,2,2,2,5,brr
1,1,1,1,3,bbb
3,3,3,2,9,nnn
3,3,3,2,9,nnn
3,3,3,1,9,nnn
1,1,1,1,3,bbb
3,3,3,2,9,nnn
1,1,1,1,3,bbb
2,1,1,1,4,bbr
3,3,3,2,9,nnn
2,1,2,2,5,brr
2,2,2,2,6,rrr
3,3,3,1,9,nnn
2,2,2,2,6,rrr
3,3,3,2,9,nnn
1,1,1,1,3,bbb
3,3,3,2,9,nnn
1,1,1,2,3,bbb
3,3,3,1,9,nnn
2,2,1,2,5,brr
2,2,2,2,6,rrr
3,3,3,1,9,nnn
1,1,1,1,3,bbb
3,3,3,2,9,nnn
3,3,3,2,9,nnn
3,3,3,1,9,nnn
2,2,1,2,5,brr
1,1,1,1,3,bbb
3,3,3,1,9,nnn
3,3,3,1,9,nnn
2,2,2,2,6,rrr
1,1,1,1,3,bbb
3,3,3,1,9,nnn
3,3,3,2,9,nnn
3,3,3,1,9,nnn
3,3,3,2,9,nnn
2,2,2,1,6,rrr
3,3,3,1,9,nnn
2,2,2,1,6,rrr
2,2,1,1,5,brr
3,3,3,2,9,nnn
2,2,1,2,5,brr
3,3,3,2,9,nnn
2,2,1,2,5,brr
3,3,3,2,9,nnn
3,3,3,1,9,nnn
3,3,3,2,9,nnn
2,1,1,2,4,bbr
1,2,1,1,4,bbr
2,2,1,1,5,brr
1,2,1,1,4,bbr
3,3,3,2,9,nnn
2,1,2,2,5,brr
1,1,1,1,3,bbb
1,1,1,2,3,bbb
2,1,2,2,5,brr
2,2,2,2,6,rrr
3,3,3,1,9,nnn
2,1,1,1,4,bbr
1,1,2,1,4,bbr
3,3,3,2,9,nnn
1,1,2,1,4,bbr
2,1,1,1,4,bbr
1,2,1,2,4,bbr
3,3,3,2,9,nnn
3,3,3,1,9,nnn
1,1,2,2,4,bbr
3,3,3,2,9,nnn
3,3,3,1,9,nnn
2,1,2,1,5,brr
3,3,3,1,9,nnn
3,3,3,1,9,nnn
3,3,3,2,9,nnn
3,3,3,1,9,nnn
1,1,2,2,4,bbr
3,3,3,1,9,nnn
3,3,3,1,9,nnn
3,3,3,1,9,nnn
1,1,1,1,3,bbb
1,1,1,1,3,bbb
2,1,2,2,5,brr
3,3,3,1,9,nnn
2,1,2,2,5,brr
1,2,1,1,4,bbr
3,3,3,2,9,nnn
3,3,3,2,9,nnn
3,3,3,2,9,nnn
3,3,3,2,9,nnn
3,3,3,2,9,nnn
3,3,3,1,9,nnn
1,1,2,1,4,bbr
3,3,3,1,9,nnn
3,3,3,2,9,nnn
2,1,1,2,4,bbr
2,1,2,2,5,brr
1,2,2,2,5,brr
3,3,3,1,9,nnn
3,3,3,2,9,nnn
2,1,1,1,4,bbr
3,3,3,2,9,nnn
1,1,1,1,3,bbb
3,3,3,1,9,nnn
1,2,2,1,5,brr
3,3,3,1,9,nnn
3,3,3,1,9,nnn
1,1,2,1,4,bbr
3,3,3,1,9,nnn
3,3,3,2,9,nnn
2,2,1,2,5,brr
1,2,2,2,5,brr
3,3,3,1,9,nnn
3,3,3,2,9,nnn
3,3,3,2,9,nnn
1,1,1,2,3,bbb
2,1,2,2,5,brr
3,3,3,2,9,nnn
1,2,1,1,4,bbr
2,1,2,2,5,brr
